Suburb,Suburb Latitude,Suburb Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
['WEIR VIEWS'],-37.72870467,144.56833669999997,Woolworths Opalia,-37.7223,144.57045,Supermarket
['WEIR VIEWS'],-37.72870467,144.56833669999997,Opalia Plaza,-37.721943,144.5715,Toll Plaza
"['BROOKFIELD', 'EXFORD', 'EYNESBURY', 'MELTON SOUTH']",-37.705529,144.571033,Coles Express,-37.70090362534211,144.572331905365,Convenience Store
"['BROOKFIELD', 'EXFORD', 'EYNESBURY', 'MELTON SOUTH']",-37.705529,144.571033,TJs Fish & Chips,-37.704764,144.57455199,Fast Food Restaurant
"['BROOKFIELD', 'EXFORD', 'EYNESBURY', 'MELTON SOUTH']",-37.705529,144.571033,Coles,-37.70211872679667,144.57437051384497,Supermarket
"['BROOKFIELD', 'EXFORD', 'EYNESBURY', 'MELTON SOUTH']",-37.705529,144.571033,Ruby's Pizza,-37.70226445928454,144.57411500505125,Pizza Place
['COBBLEBANK'],-37.70732038,144.6008548,Cobblebank Station,-37.712475,144.60411,Train Station
['COBBLEBANK'],-37.70732038,144.6008548,Urban35,-37.713317,144.599808,Café
['COBBLEBANK'],-37.70732038,144.6008548,Abey,-37.7053752332979,144.59261476993558,Home Service
['COBBLEBANK'],-37.70732038,144.6008548,Quality Hotel Tabcorp Park,-37.69859737584445,144.59994412953165,Hotel
['GRANGEFIELDS'],-37.706900299999994,144.6393305,Reading Cinema,-37.712017,144.634172,Movie Theater
['GRANGEFIELDS'],-37.706900299999994,144.6393305,Rockbank Nursery,-37.7135050208865,144.63719304989044,Flower Shop
['GRANGEFIELDS'],-37.706900299999994,144.6393305,Go West,-37.709153,144.647731,Café
['GRANGEFIELDS'],-37.706900299999994,144.6393305,McDonald's,-37.70665155480706,144.62911677603796,Fast Food Restaurant
"['CHARTWELL', 'COCOROC', 'DERRIMUT', 'POINT COOK', 'QUANDONG', 'WERRIBEE', 'WERRIBEE SOUTH']",-37.91624,144.64209,7 Eleven,-37.92045,144.634701,Convenience Store
"['CHARTWELL', 'COCOROC', 'DERRIMUT', 'POINT COOK', 'QUANDONG', 'WERRIBEE', 'WERRIBEE SOUTH']",-37.91624,144.64209,Riverwalk Village,-37.918152,144.643094,Playground
"['CHARTWELL', 'COCOROC', 'DERRIMUT', 'POINT COOK', 'QUANDONG', 'WERRIBEE', 'WERRIBEE SOUTH']",-37.91624,144.64209,Ants Bum Palace,-37.912268,144.636276,Adult Boutique
['AINTREE'],-37.719,144.6684,Frontier Park,-37.72137,144.66312,Playground
['AINTREE'],-37.719,144.6684,"Carlisle Homes - Woodlea DV2 Estate, Aintree",-37.71336228567622,144.67238903045654,Furniture / Home Store
['AINTREE'],-37.719,144.6684,Woodlea Playground,-37.71885341524939,144.65844154357907,Playground
['BONNIE BROOK'],-37.69608887,144.6698898,Laverton Market,-37.69679260253906,144.6585693359375,Shop & Service
['DEANSIDE'],-37.7332,144.7041,Another Grove,-37.73393283169538,144.71431732177734,BBQ Joint
